4G_App_Thrp,PDCP_Thrp,RSRP,RSRQ,SINR,PDSCH_RB
22850.29,25424.74,-119.4,-20.9,-2.7,84.4
22760.69,22101.80,-123.3,-20.8,-6.1,86.8
24976.00,23725.11,-118.6,-20.3,1.1,80.0
23083.20,13611.26,-120.6,-20.8,-4.4,51.2
20245.16,16126.52,-120.5,-21.4,-6.1,77.2
11243.58,19830.26,-123.5,-22.1,-7.2,90.0
18880.04,10455.50,-125.8,-20.3,-2.3,74.7
22689.61,14749.87,-120.5,-21.6,-9.8,80.0
7326.69,17321.55,-119.8,-21.4,-7.6,89.6
14974.40,17537.58,-121.0,-22.0,-8.4,90.8
15049.06,18102.84,-123.3,-21.7,-4.5,87.6
18823.62,20337.10,-122.2,-22.9,-4.2,90.4
18894.40,19251.60,-125.3,-22.6,-6.1,96.0
18915.94,15879.06,-122.7,-22.1,-5.8,62.4
18835.54,12992.45,-122.0,-22.4,-5.3,93.6
11260.31,21595.62,-119.8,-21.3,-3.8,94.0
18760.00,21874.00,-115.3,-17.0,-1.2,68.4
21358.40,28709.00,-114.3,-14.7,4.6,59.6
23094.40,29851.09,-116.6,-15.6,4.0,73.6
27783.54,23279.65,-115.7,-14.8,1.1,60.0
30538.89,17690.00,-113.7,-14.0,3.1,40.9
18972.80,20040.89,-101.6,-12.9,10.1,28.4
18953.11,21350.98,-112.6,-15.8,5.3,45.8
19129.60,23136.21,-111.7,-16.4,2.0,59.6
11446.40,25083.93,-116.6,-16.9,2.0,68.0
22876.46,27316.18,-112.8,-16.7,0.2,74.4
22807.53,25639.25,-117.2,-18.4,-1.8,80.4
26685.53,24413.18,-122.0,-20.4,-0.7,87.2
38052.32,26196.43,-116.3,-19.7,-1.0,83.2
11390.40,31856.61,-114.1,-18.4,1.5,84.0
26611.20,19489.54,-115.6,-20.8,-1.4,76.4
30553.60,17151.54,-118.6,-21.3,-6.5,84.4
27099.42,8789.35,-121.0,-23.1,-11.3,63.2
14428.25,11406.20,-121.8,-21.8,-8.4,78.7
3500.35,25903.65,-112.7,-19.9,-0.9,75.2
11098.45,36119.87,-112.7,-18.5,-0.3,80.8
26310.17,33197.78,-114.6,-20.6,0.6,91.2
34722.95,38477.27,-115.8,-17.9,3.3,73.2
34403.24,40233.74,-112.8,-15.8,3.3,77.6
38369.86,43366.95,-113.3,-17.9,3.8,82.0
38329.97,43578.44,-115.5,-17.7,3.3,75.2
42223.06,46110.95,-112.5,-18.7,4.7,66.7
42237.39,49013.60,-110.4,-13.5,5.8,65.6
46178.82,49510.70,-109.1,-18.7,5.0,78.0
48122.26,55649.74,-108.4,-19.0,6.4,70.2
48068.58,54759.22,-106.7,-15.0,6.7,64.4
50052.54,49617.96,-108.2,-14.9,8.9,64.4
34616.72,50134.29,-113.6,-12.6,9.8,58.0
72965.59,0.00,-127.0,-10.9,8.9,68.0
20304.68,488.25,-117.1,-13.3,4.1,38.0
,28645.61,-108.5,-15.0,4.8,45.3
2167.52,22779.94,-114.1,-14.9,4.3,37.6
29814.40,21698.52,-112.8,-14.2,6.2,36.0
18943.38,23817.26,-115.4,-13.4,5.7,40.0
22959.30,25155.29,-111.2,-13.1,7.3,38.4
22955.42,27079.41,-114.5,-14.3,4.0,50.4
26761.94,29938.59,-116.8,-15.0,2.9,54.8
26893.18,27763.93,-117.5,-18.6,0.1,69.6
30562.30,31751.67,-118.1,-15.0,4.1,61.8
26734.40,27528.90,-118.9,-15.4,2.4,50.8
15344.00,31234.08,-107.1,-15.3,4.8,56.8
27316.24,33295.62,-117.5,-15.3,4.4,57.2
45368.84,34631.11,-114.5,-14.2,5.2,49.6
27823.19,35490.11,-110.8,-14.8,6.7,53.3
23370.56,36915.76,-114.8,-16.4,4.4,62.0
37148.94,40293.54,-113.5,-12.9,7.7,59.6
34549.81,40343.65,-114.3,-14.8,5.9,66.8
38403.18,45111.48,-114.6,-16.0,4.4,66.2
