4G_App_Thrp,PDCP_Thrp,RSRP,RSRQ,SINR,PDSCH_RB
58425.82,71771.26,-82.7,-15.1,14.1,87.2
62176.56,73715.79,-83.0,-14.7,12.4,92.4
74015.64,73657.41,-84.7,-14.8,13.8,88.4
73868.88,71816.04,-83.2,-14.2,13.2,88.0
35356.42,71392.85,-83.7,-14.4,14.3,85.2
103795.76,55716.26,-83.8,-14.8,14.8,67.2
35750.75,22536.57,-83.9,-11.5,15.5,28.4
69409.24,21902.58,-83.3,-11.4,14.9,29.6
11672.45,19453.98,-83.6,-11.7,14.6,25.6
30874.32,22605.77,-84.4,-13.5,13.9,29.8
21745.88,26298.42,-82.4,-11.3,15.1,36.0
,3229.89,-82.2,-7.2,13.0,
,0.00,-82.5,-8.9,14.0,25.3
,0.00,-84.5,-9.7,13.2,
,0.00,-83.3,-8.0,12.8,4.0
,0.00,-84.3,-8.2,15.5,
,0.00,-84.6,-8.6,13.8,4.0
,0.00,-85.1,-9.0,13.1,4.0
,0.00,-85.9,-9.9,12.0,4.0
,0.29,-82.3,-8.0,14.8,4.0
,0.00,-83.6,-9.1,11.8,4.0
,0.00,-82.4,-9.0,15.2,4.0
,0.00,-83.1,-9.8,13.3,
,0.00,-83.1,-9.3,14.2,4.0
,4.28,-84.0,-9.2,14.8,4.0
,35.32,-83.6,-9.8,10.5,4.0
,0.00,-83.8,-8.4,12.8,4.0
,71.02,-84.7,-9.0,13.7,4.0
,0.00,-84.6,-8.9,13.1,4.0
,0.00,-83.9,-8.2,12.6,4.0
,2.38,-82.1,-9.2,14.0,4.0
,0.00,-81.6,-8.9,15.0,
,0.00,-81.4,-7.5,13.7,4.0
,0.43,-84.2,-10.3,12.7,4.0
,69.35,-84.1,-9.6,13.6,4.0
,0.00,-81.3,-10.1,12.9,4.0
,0.00,-83.2,-9.9,13.6,4.0
,0.00,-83.2,-7.8,11.3,4.0
,0.00,-85.1,-9.5,10.9,4.0
,0.00,-84.3,-8.0,10.3,
,0.00,-82.2,-7.1,11.4,4.0
,0.00,-81.3,-7.4,12.5,
,0.00,-85.6,-10.5,12.5,4.0
,2169.21,-83.6,-9.4,14.2,13.0
,18608.37,-80.5,-9.9,16.1,31.6
7645.38,60032.57,-82.4,-14.4,14.8,89.6
46650.83,60571.73,-81.9,-13.5,15.9,85.2
53955.52,63310.59,-83.2,-13.7,16.3,88.0
68396.08,63757.32,-83.0,-14.9,15.4,88.0
62183.02,65884.94,-82.4,-12.4,14.6,87.2
32209.58,61571.59,-82.3,-15.1,14.9,86.2
94729.68,65544.74,-83.6,-14.2,15.3,86.5
35018.71,63826.28,-82.1,-14.9,16.3,83.6
65661.41,72423.36,-83.0,-14.9,15.7,88.0
66230.22,72598.70,-83.5,-14.9,15.4,88.0
69960.59,70580.43,-82.8,-13.7,15.0,88.5
70125.30,70654.92,-83.3,-14.9,14.5,88.0
57984.12,71207.59,-83.8,-12.9,12.3,88.4
79757.23,61217.53,-84.4,-15.6,9.7,89.0
37075.56,67015.64,-84.4,-14.7,12.9,88.0
108874.80,68764.45,-84.9,-14.0,12.7,88.4
62230.49,67706.93,-84.2,-14.6,13.9,85.7
66127.98,71434.28,-84.2,-15.0,13.9,87.6
70038.81,65863.11,-84.4,-14.3,13.8,85.2
69320.78,61846.99,-84.6,-14.2,13.1,78.8
58646.48,66391.66,-84.5,-14.5,14.7,83.2
57909.70,49008.61,-84.1,-11.4,12.9,66.2
62022.79,32838.97,-84.1,-11.1,13.7,46.8
38654.01,19068.21,-85.2,-10.4,13.8,28.4
23024.66,17491.29,-85.3,-10.2,14.0,27.1
15072.42,16603.78,-84.2,-10.6,15.0,29.5
19742.40,29495.37,-85.3,-10.1,14.2,40.8
23248.22,34632.79,-85.9,-10.4,14.4,47.6
19387.29,40179.94,-85.6,-11.2,13.7,53.2
31108.84,37317.60,-84.7,-11.5,14.2,50.0
38722.30,39937.03,-85.4,-12.0,14.0,51.1
38931.54,48489.18,-85.3,-13.8,13.1,63.3
46552.92,44353.04,-84.2,-13.0,13.7,57.3
47737.06,26120.17,-84.1,-12.1,15.0,33.6
32368.51,32914.81,-84.7,-12.2,14.8,41.6
27244.93,36067.62,-83.9,-12.6,16.1,49.2
40288.33,37872.15,-85.6,-12.7,12.9,53.6
33471.01,42038.40,-85.7,-14.3,12.5,54.4
34831.48,36087.97,-86.2,-12.5,14.4,49.3
41010.21,39921.57,-86.4,-11.3,13.3,56.0
36473.68,25030.95,-83.0,-11.8,15.9,38.7
38668.50,30845.98,-85.2,-12.0,13.2,42.8
23252.40,28247.20,-83.4,-10.3,15.3,38.0
30954.50,26626.34,-84.5,-10.1,14.1,40.0
23249.30,29177.87,-82.9,-11.2,14.8,40.8
27112.15,24976.53,-82.3,-10.7,13.0,38.4
30550.00,24494.67,-83.6,-11.4,13.0,34.2
9741.60,29146.05,-82.1,-11.6,15.2,44.4
41022.54,30146.17,-82.9,-13.2,14.5,43.2
31058.00,24340.35,-84.0,-11.7,12.5,42.4
23061.96,19063.46,-84.5,-11.2,14.2,32.4
19320.66,23539.23,-84.4,-11.4,14.7,42.8
11566.80,28543.46,-85.3,-11.9,12.6,44.4
23298.25,35027.36,-85.5,-12.0,12.1,53.6
28350.00,39188.98,-84.2,-12.2,12.2,62.8
37579.74,33411.70,-83.9,-12.3,10.8,51.6
38637.20,35989.32,-84.9,-12.7,10.9,58.0
34984.35,26202.67,-82.6,-12.2,12.8,41.2
30835.94,30780.26,-83.1,-13.1,12.0,45.2
27214.44,34237.27,-84.0,-12.7,13.2,63.2
30908.86,34411.72,-84.9,-13.4,12.7,47.1
38869.94,29387.24,-86.8,-12.7,12.3,46.8
30836.96,18773.69,-85.8,-11.3,10.6,35.2
23176.80,18914.52,-85.1,-12.9,7.2,46.4
15357.60,23082.56,-89.5,-14.1,7.8,46.7
23051.40,5750.71,-91.0,-13.0,4.9,40.0
16012.02,14941.20,-91.5,-14.0,8.0,45.3
7565.89,16420.13,-89.3,-13.7,7.9,30.0
15422.40,14710.97,-90.7,-13.7,6.8,26.8
15394.97,11965.00,-93.1,-15.5,6.9,30.7
11491.20,15049.79,-93.5,-16.1,3.7,47.2
15365.55,2.24,-88.8,-12.5,7.8,24.4
11221.20,13254.30,-86.4,-13.1,6.2,24.8
7732.80,15900.64,-87.2,-13.3,4.2,23.2
15339.23,15724.03,-84.2,-11.4,10.2,24.0
15507.06,19461.92,-81.9,-14.0,8.4,27.6
19257.97,25890.94,-78.5,-11.6,11.2,31.2
23324.38,30202.83,-76.7,-11.8,13.2,34.2
30941.16,31995.85,-76.3,-12.4,12.8,31.6
31055.38,25140.59,-78.2,-12.0,13.7,29.8
23187.60,33653.50,-80.5,-14.1,9.5,37.2
35009.58,36755.75,-79.5,-13.9,9.9,47.6
34864.87,44419.46,-79.7,-12.7,10.4,45.2
42838.02,48962.33,-78.6,-14.5,13.4,48.4
50410.87,52781.40,-76.4,-13.1,15.3,45.2
47182.07,59081.02,-75.4,-12.9,15.0,45.2
62093.40,58648.27,-74.0,-13.8,14.3,51.6
57743.83,64598.62,-74.1,-14.0,16.6,51.6
51612.06,73887.78,-72.4,-12.4,18.5,54.0
86005.80,58400.65,-71.7,-13.4,19.8,45.2
31032.22,65931.99,-70.6,-13.7,19.4,47.6
62593.11,71003.73,-72.8,-12.8,18.8,45.8
67881.38,57810.05,-73.1,-11.2,21.9,44.0
62259.26,37588.04,-71.8,-11.5,23.2,30.4
42274.90,40997.71,-72.2,-11.1,21.2,32.9
38869.20,43222.05,-71.6,-12.4,20.1,35.2
42647.85,47945.26,-71.3,-10.7,23.3,39.6
46660.66,52384.64,-71.5,-11.2,23.1,41.2
50421.40,57889.43,-72.4,-12.3,20.7,49.3
58382.99,63735.36,-73.3,-13.4,20.4,51.2
62084.18,69100.36,-71.0,-12.5,19.4,44.8
66152.12,54337.01,-71.5,-12.5,17.9,45.2
58242.74,71433.68,-74.9,-14.1,14.8,59.6
66137.47,72973.23,-75.9,-13.3,16.5,60.4
69921.46,82713.82,-76.5,-14.7,18.0,72.4
81704.34,86178.86,-76.1,-14.1,16.3,70.0
81531.34,85561.02,-75.5,-14.8,20.2,61.2
89236.72,69712.54,-72.7,-11.4,21.4,52.5
69955.92,72867.95,-70.1,-12.2,24.6,50.8
74007.26,77358.65,-70.3,-12.4,25.3,45.3
73846.02,57557.74,-68.9,-12.2,21.6,41.5
58044.75,61880.70,-69.2,-13.0,24.9,48.0
62206.42,54617.94,-70.3,-13.5,23.9,37.2
46460.59,48622.08,-68.4,-11.8,25.6,31.2
49090.57,37487.43,-69.6,-9.5,26.1,22.7
33979.70,32175.51,-70.7,-9.3,26.1,21.2
21445.94,34855.41,-72.0,-10.5,25.5,25.2
33229.93,39700.06,-73.7,-11.2,24.8,30.2
48286.78,44259.95,-76.9,-11.5,18.8,34.7
,11257.32,-77.4,-9.4,16.6,4.0
,1177.21,-75.8,-9.3,18.2,4.0
,1611.16,-76.4,-9.5,20.8,4.8
,1670.17,-79.1,-9.0,17.1,6.0
,0.43,-81.0,-9.3,14.1,4.0
,7.29,-79.5,-10.1,18.1,4.0
,0.00,-78.0,-8.9,20.7,4.0
,0.00,-75.6,-8.8,22.5,4.0
,0.00,-73.4,-9.0,22.5,4.0
,0.62,-74.3,-8.9,17.1,4.0
,0.00,-74.3,-9.2,17.7,4.0
,0.00,-76.0,-10.0,14.4,4.0
,51.72,-81.2,-8.7,13.7,4.0
,40.61,-87.4,-12.0,7.2,4.0
,10.47,-88.3,-12.9,6.9,4.0
,0.00,-84.7,-12.9,5.7,4.0
,0.00,-84.7,-11.8,4.9,4.0
,0.00,-83.7,-13.3,6.7,4.0
,0.00,-87.1,-13.1,5.7,4.0
,0.00,-92.3,-15.5,1.4,4.0
,2.04,-84.2,-9.7,12.4,4.0
,40.12,-79.2,-7.9,9.6,4.0
,0.00,-83.6,-8.5,9.7,4.0
,6.30,-79.3,-9.4,12.6,4.0
,106.22,-84.4,-8.5,10.8,4.0
,0.00,-86.8,-11.0,6.5,4.0
,0.00,-85.0,-10.3,7.3,4.0
,0.86,-86.4,-10.4,12.2,4.0
,0.00,-79.0,-8.9,13.2,4.0
,73.47,-80.1,-8.5,17.1,4.0
,171.71,-81.8,-8.8,17.5,4.0
,0.00,-79.2,-7.6,15.8,4.0
,479.17,-76.3,-8.3,17.3,20.7
,28801.30,-75.6,-9.7,25.4,16.4
19747.21,58540.52,-77.9,-11.9,20.9,87.2
18863.57,95501.65,-80.3,-15.4,16.9,99.2
125169.51,44933.36,-80.1,-8.7,19.5,13.7
57207.10,12268.80,-80.2,-9.9,20.6,49.2
,132081.95,-77.1,-14.6,21.5,96.0
42723.38,141771.55,-76.1,-15.2,23.4,96.0
130311.70,83984.21,-75.8,-10.9,19.8,78.7
95075.63,125908.43,-72.5,-14.9,22.6,87.2
120708.98,79672.23,-71.5,-11.9,24.7,38.8
108940.42,70112.35,-71.5,-13.2,26.1,49.3
62320.81,78821.09,-72.6,-13.6,25.7,51.6
77444.89,98529.44,-76.1,-13.8,23.2,76.4
85693.78,114439.26,-75.1,-10.9,23.4,80.0
82475.38,115606.56,-73.0,-12.0,23.0,81.5
142977.75,116896.33,-70.8,-12.4,24.4,78.7
115229.05,119865.54,-67.4,-11.8,25.0,74.0
118805.05,119881.76,-68.8,-11.9,25.9,79.6
120614.40,118616.35,-69.5,-11.0,25.5,62.8
120568.90,61248.12,-67.8,-9.7,26.3,44.4
