4G_App_Thrp,PDCP_Thrp,RSRP,RSRQ,SINR,PDSCH_RB
,89799.02,-83.3,-12.1,21.3,90.8
0,94643.22,-83.1,-11.9,19.2,89.3
0,94643.22,-83.1,-11.9,19.2,89.3
0,91754.63,-84.1,-11.8,18.3,84.8
0,91754.63,-84.1,-11.8,18.3,84.8
0,60440.7,-84.1,-12.6,12.9,88
0,60440.7,-84.1,-12.6,12.9,88
0,76658.77,-86.3,-12,18,87.1
0,76658.77,-86.3,-12,18,87.1
0,66663.76,-86,-12.5,16.3,74.8
0,66663.76,-86,-12.5,16.3,74.8
0,64504.58,-86.7,-11.8,16.5,81.2
0,64504.58,-86.7,-11.8,16.5,81.2
0,86029.55,-85.6,-11.9,17.7,94.8
0,86029.55,-85.6,-11.9,17.7,94.8
0,76718.14,-87,-12.4,19.3,86.8
0,76718.14,-87,-12.4,19.3,86.8
0,70174.18,-86.2,-11.9,20,88.4
0,70174.18,-86.2,-11.9,20,88.4
0,72845.7,-86.1,-12,17.6,78.8
0,72845.7,-86.1,-12,17.6,78.8
0,48662.78,-85.9,-12.2,17.2,62
0,48662.78,-85.9,-12.2,17.2,62
,74813.88,-87.4,-12.2,17.5,86
,74813.88,-87.4,-12.2,17.5,86
0,75981.64,-86.5,-12,18.1,88
0,75981.64,-86.5,-12,18.1,88
,84089.01,-87.3,-12.1,15.9,93.2
,84089.01,-87.3,-12.1,15.9,93.2
0,66435.35,-87.4,-12.5,14.5,72.8
0,66435.35,-87.4,-12.5,14.5,72.8
,61775.32,-87.7,-12.2,16.1,88
,61775.32,-87.7,-12.2,16.1,88
0,75943.17,-87.4,-12,18.2,91.6
0,75943.17,-87.4,-12,18.2,91.6
0,79392.72,-87.3,-12.1,18.5,86
0,79392.72,-87.3,-12.1,18.5,86
0,83837.19,-87.2,-12.1,17.7,88.4
0,83837.19,-87.2,-12.1,17.7,88.4
0,83133.8,-87.2,-12.3,15.7,88.8
0,83133.8,-87.2,-12.3,15.7,88.8
,67827.79,-87.1,-12.1,17.4,60
,67827.79,-87.1,-12.1,17.4,60
0,45312.34,-87.3,-12.2,18,44.8
0,45312.34,-87.3,-12.2,18,44.8
0,42692.71,-87.3,-12.2,18,47.2
0,42692.71,-87.3,-12.2,18,47.2
0,46457.43,-86.5,-12.1,17,48
0,46457.43,-86.5,-12.1,17,48
,38667.94,-87.4,-12.3,14.3,46.4
,38667.94,-87.4,-12.3,14.3,46.4
,52439.48,-86.8,-12.2,18.2,52.4
,52439.48,-86.8,-12.2,18.2,52.4
0,49121.98,-86.8,-12.2,18.8,48
0,49121.98,-86.8,-12.2,18.8,48
0,48708.44,-87.4,-12.2,18.4,44.8
0,48708.44,-87.4,-12.2,18.4,44.8
0,63424.97,-88.1,-12.2,16.9,89.2
0,63424.97,-88.1,-12.2,16.9,89.2
,72204.56,-87.8,-12.4,16.8,87.2
,72204.56,-87.8,-12.4,16.8,87.2
0,73519.51,-86.9,-12.1,17.9,92.4
0,73519.51,-86.9,-12.1,17.9,92.4
,81129.36,-86.9,-12.3,16.7,86
,81129.36,-86.9,-12.3,16.7,86
0,65415.03,-86.7,-12.1,18.4,86
0,65415.03,-86.7,-12.1,18.4,86
,82004.47,-87.3,-12.3,16,94.4
,82004.47,-87.3,-12.3,16,94.4
0,64571.28,-87.2,-12.5,11.9,82.2
0,64571.28,-87.2,-12.5,11.9,82.2
0,83885.81,-87.4,-12.2,14.1,95.2
0,83885.81,-87.4,-12.2,14.1,95.2
0,81788.1,-86.4,-12.1,16,92.4
0,81788.1,-86.4,-12.1,16,92.4
0,85280.31,-86.4,-11.9,19.4,90
0,85280.31,-86.4,-11.9,19.4,90
0,81118.33,-86.1,-11.6,20.5,92.8
0,81118.33,-86.1,-11.6,20.5,92.8
,70248.77,-86.7,-12.2,17.2,78.7
,70248.77,-86.7,-12.2,17.2,78.7
0,72021.78,-86.6,-9.8,19.7,88
0,72021.78,-86.6,-9.8,19.7,88
,0,-83.9,-7,21.9,6
,0,-83.9,-7,21.9,6
0,0,-86.3,-8.2,19.8,62.7
0,0,-86.3,-8.2,19.8,62.7
,52084.29,-87.5,-12,18.8,88.9
,52084.29,-87.5,-12,18.8,88.9
0,71810.59,-86.6,-12.2,19.9,87.2
0,71810.59,-86.6,-12.2,19.9,87.2
0,89316.08,-87.1,-11.9,19.9,91.2
0,89316.08,-87.1,-11.9,19.9,91.2
0,90552.39,-86.9,-12,18.6,91.2
0,90552.39,-86.9,-12,18.6,91.2
0,77107.25,-86.9,-12.3,18.7,82.8
0,77107.25,-86.9,-12.3,18.7,82.8
0,75602.91,-86.8,-12.4,17.6,82.4
0,75602.91,-86.8,-12.4,17.6,82.4
,84809.77,-86.7,-12.1,17.9,91.2
,84809.77,-86.7,-12.1,17.9,91.2
0,78429.99,-87.2,-12.1,19.3,93.2
0,78429.99,-87.2,-12.1,19.3,93.2
0,81847.16,-86.9,-12.2,16.9,87.2
0,81847.16,-86.9,-12.2,16.9,87.2
,71930.17,-86.6,-12.3,15.3,88
,71930.17,-86.6,-12.3,15.3,88
0,20413.66,-86.7,-6.8,19.3,4
0,20413.66,-86.7,-6.8,19.3,4
0,0,-86.8,-6.8,19.1,4
0,0,-86.8,-6.8,19.1,4
,0,-86.3,-8.2,19.1,54.7
,0,-86.3,-8.2,19.1,54.7
0,50651.54,-86.8,-12.6,13.4,89.6
0,50651.54,-86.8,-12.6,13.4,89.6
,46179.36,-85.9,-8.4,17.1,74.4
,46179.36,-85.9,-8.4,17.1,74.4
,0.34,-85.9,-8.3,11.6,
,0.34,-85.9,-8.3,11.6,
,0,-86.2,-6.8,19.2,4
,0,-86.2,-6.8,19.2,4
,0,-86.3,-7.1,21.3,
,0,-86.3,-7.1,21.3,
,0,-86,-6.3,19.3,
,0,-86,-6.3,19.3,
,0,-86.7,-8,17.7,4
,0,-86.7,-8,17.7,4
,0,-86.6,-7.8,15.9,4
,0,-86.6,-7.8,15.9,4
,0,-85.9,-6.4,20.5,
,0,-85.9,-6.4,20.5,
,0,-86.5,-6.7,17.7,4
,0,-86.5,-6.7,17.7,4
,0,-86.8,-6.8,17.4,
,0,-86.8,-6.8,17.4,
,0,-86.9,-6.7,16.4,4
,0,-86.9,-6.7,16.4,4
,,-87.2,-7.3,18.1,4
,,-87.2,-7.3,18.1,4
,,-86.5,-6.4,17.8,4
,,-86.5,-6.4,17.8,4
,0.73,-86.4,-6.3,18.2,4
,0.73,-86.4,-6.3,18.2,4
,0,-87.3,-7.5,14.3,4
,0,-87.3,-7.5,14.3,4
,0,-87.4,-7.1,17.3,4
,0,-87.4,-7.1,17.3,4
,0,-87.4,-6.9,12.1,4
,0,-87.4,-6.9,12.1,4
,0,-86.4,-6.5,18.7,4
,0,-86.4,-6.5,18.7,4
,3.35,-86.2,-6.7,18.7,4
,3.35,-86.2,-6.7,18.7,4
,0,-86.6,-7.3,19.2,
,0,-86.6,-7.3,19.2,
,0,-86.6,-7.4,15.4,4
,0,-86.6,-7.4,15.4,4
,0,-87.6,-7.9,16.6,4
,0,-87.6,-7.9,16.6,4
,0,-88.2,-9.5,18.8,4
,0,-88.2,-9.5,18.8,4
,0,-88.7,-7.6,15.2,4
,0,-88.7,-7.6,15.2,4
,0,-88.5,-7.3,17,4
,0,-88.5,-7.3,17,4
,0,-88,-7.1,13.8,
,0,-88,-7.1,13.8,
,0.66,-88.3,-7.1,16.4,4
,0.66,-88.3,-7.1,16.4,4
,0,-88.8,-7.1,17.8,4
,0,-88.8,-7.1,17.8,4
,0,-89,-7.2,16.9,4
,0,-89,-7.2,16.9,4
,0,-88.8,-8.4,12,4
,0,-88.8,-8.4,12,4
,0,-88.8,-6.7,17.2,4
,0,-88.8,-6.7,17.2,4
,0,-88.8,-7,16.8,4
,0,-88.8,-7,16.8,4
,18093.42,-88.5,-8.1,14.6,24.3
,18093.42,-88.5,-8.1,14.6,24.3
,60451.61,-88.8,-12.2,8.9,70.4
,60451.61,-88.8,-12.2,8.9,70.4
38087.74,59772.19,-88.8,-12.2,14.2,79.6
38087.74,59772.19,-88.8,-12.2,14.2,79.6
53593.99,67171.52,-88.5,-12.7,13.2,90.8
53593.99,67171.52,-88.5,-12.7,13.2,90.8
66339.78,68822.71,-88.9,-12.3,14.8,91.2
66339.78,68822.71,-88.9,-12.3,14.8,91.2
67548.1,73021.41,-88.8,-12.3,15.3,84
67548.1,73021.41,-88.8,-12.3,15.3,84
68847.16,71445.81,-88.4,-12.3,16.7,90.2
68847.16,71445.81,-88.4,-12.3,16.7,90.2
69004,71296.9,-88.1,-12.2,17.4,88.8
69004,71296.9,-88.1,-12.2,17.4,88.8
57096,63450.47,-88.1,-12.3,17.9,88.4
57096,63450.47,-88.1,-12.3,17.9,88.4
80766.4,68074.61,-88,-12.4,15.6,92.4
80766.4,68074.61,-88,-12.4,15.6,92.4
64864.8,78850.09,-87.9,-12.1,18.6,90.4
64864.8,78850.09,-87.9,-12.1,18.6,90.4
76606.4,78013.5,-88.2,-12,19.4,95.4
76606.4,78013.5,-88.2,-12,19.4,95.4
73840,61070.27,-88.1,-12.1,20.1,72.3
73840,61070.27,-88.1,-12.1,20.1,72.3
46831.2,80525.64,-88.3,-12.1,19.3,92.9
46831.2,80525.64,-88.3,-12.1,19.3,92.9
55265.6,74845.52,-88.9,-12.2,17.3,90.9
