POLQAScoreDL,AggActiveEcIo,AggActiveRSCP,ActiveSetMemberCount,AggActiveoverAggNonActive,BestActiveoverBestNonActive,DetectedSetCount,MonitoredSetCount,PathlossTop1,ULintfTop1,RACHLastTXpower,EcIoA1,EcIoA2,RSCPA1,RSCPA2,Speed,ASU_to_ASUC_ms,E1A_to_ASU_Delay_ms,E1A_to_ASUC_Delay_ms,E1B_to_ASU_Delay_ms,E1B_to_ASUC_Delay_ms,Interval_ASU_ASU_seconds,CompositeBLER%,NumofErrorBlocks,ReceivedGoodBlocks-Sum
3.440000057,-9.300000191,-53.59999847,1,-1.899999976,1.899999976,2,2,115.5999985,-106,-21,-9.300000191,-17.5,-53.59999847,-62.90000153,30.29999924,34,6343,6344,376,410,2.170000076,23.89999962,83,276
2.150000095,-9.5,-55.20000076,1,-0.200000003,1.5,3,2,115.5999985,-106,-21,-10.19999981,-17.5,-55.59999847,-62.90000153,26.10000038,8,6343,6344,254,272,4.550000191,3.099999905,17,592
4.420000076,-8.5,-58.20000076,1,-12.39999962,-9.300000191,3,2,115.5999985,-106,-21,-9.300000191,-9.399999619,-63.40000153,-55.20000076,27,18,354,372,412,412,2.049999952,8.100000381,31,382
4.320000172,-10.80000019,-70.40000153,1,-17.39999962,-10.80000019,4,2,115.5999985,-106,-21,-10.80000019,-11.80000019,-70.40000153,-69.80000305,37.79999924,18,354,372,412,412,2.049999952,26.79999924,30,82
3.650000095,-9.899999619,-68,1,-10.80000019,-7.800000191,4,4,115.5999985,-106,-21,-11.30000019,-11.80000019,-69.5,-69.80000305,29.5,18,354,372,412,412,2.049999952,2.700000048,19,714
4.409999847,-6.400000095,-61.40000153,1,-11.80000019,-6.400000095,4,5,115.5999985,-106,-22,-6.400000095,-13.80000019,-61.40000153,-80.80000305,25.20000076,11,736,737,368,394,0.899999976,17.89999962,43,199
3.349999905,-8,-74.19999695,2,0.600000024,4.099999905,1,8,115.5999985,-106,-22,-8.899999619,-13.80000019,-74.90000153,-80.80000305,23.39999962,11,736,737,368,394,0.899999976,0.699999988,3,436
3.450000048,-6.800000191,-72.80000305,3,-10.80000019,-7,7,5,115.5999985,-106,-22,-9.199999809,-12.89999962,-80,-76.19999695,33.79999924,16,973,989,973,989,2,4.699999809,23,440
3.559999943,-9.300000191,-74.69999695,2,-7.300000191,-3.200000048,3,9,115.5999985,-106,-22,-11.30000019,-16.39999962,-76.59999847,-81.90000153,26.70000076,35,1474,1503,1414,1446,1.25,2,14,580
4.420000076,-4.800000191,-81.59999847,3,-11.89999962,-6.699999809,6,3,115.5999985,-106,-22,-6.699999809,-10.30000019,-83.59999847,-87.09999847,31.10000038,177,820,821,329,506,14.48999977,13.39999962,17,110
4.090000153,-6.800000191,-74,1,-5.400000095,-0.5,7,6,115.5999985,-106,-22,-7.400000095,-15,-74.69999695,-85.5,25.29999924,1,820,821,531,532,0.810000002,19,107,474
4.110000134,-2.900000095,-58.09999847,1,-3.099999905,-2.900000095,1,3,115.5999985,-106,-22,-2.900000095,-11.5,-58.09999847,-76.59999847,36.29999924,2,406,408,406,408,2.900000095,42.70000076,44,59
4.050000191,-4.900000095,-60.29999924,1,4.800000191,7.300000191,1,3,115.5999985,-106,-22,-4.900000095,-11.5,-60.29999924,-76.59999847,40.20000076,2,406,408,406,408,2.900000095,25.29999924,86,265
